,GLO,LED,COL,PAR,SAT_O,OCM,n_survey,n_segments,n_codes,n_sources,sentiment_mean,pct_negative,prop_LEAD,prop_COMM,prop_QCULT,prop_CHAL,prop_OUTC
GLO,1.0,1.0,1.0,0.8,1.0,0.8,0.36,-0.8,-0.9,-0.87,-0.6,0.8,-0.3,0.3,-0.7,-0.72,0.1
LED,1.0,1.0,1.0,0.8,1.0,0.8,0.36,-0.8,-0.9,-0.87,-0.6,0.8,-0.3,0.3,-0.7,-0.72,0.1
COL,1.0,1.0,1.0,0.8,1.0,0.8,0.36,-0.8,-0.9,-0.87,-0.6,0.8,-0.3,0.3,-0.7,-0.72,0.1
PAR,0.8,0.8,0.8,1.0,0.8,1.0,0.05,-0.3,-0.5,-0.41,-0.6,0.7,0.3,0.0,-0.7,-0.97,-0.5
SAT_O,1.0,1.0,1.0,0.8,1.0,0.8,0.36,-0.8,-0.9,-0.87,-0.6,0.8,-0.3,0.3,-0.7,-0.72,0.1
OCM,0.8,0.8,0.8,1.0,0.8,1.0,0.05,-0.3,-0.5,-0.41,-0.6,0.7,0.3,0.0,-0.7,-0.97,-0.5
n_survey,0.36,0.36,0.36,0.05,0.36,0.05,1.0,-0.41,-0.67,-0.55,0.46,-0.05,-0.46,0.56,-0.36,0.16,0.62
n_segments,-0.8,-0.8,-0.8,-0.3,-0.8,-0.3,-0.41,1.0,0.9,0.97,0.5,-0.7,0.8,-0.3,0.5,0.21,-0.6
n_codes,-0.9,-0.9,-0.9,-0.5,-0.9,-0.5,-0.67,0.9,1.0,0.97,0.3,-0.6,0.6,-0.5,0.6,0.36,-0.5
n_sources,-0.87,-0.87,-0.87,-0.41,-0.87,-0.41,-0.55,0.97,0.97,1.0,0.41,-0.67,0.72,-0.41,0.56,0.29,-0.56
sentiment_mean,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,0.46,0.5,0.3,0.41,1.0,-0.9,0.1,0.4,0.5,0.67,0.3
pct_negative,0.8,0.8,0.8,0.7,0.8,0.7,-0.05,-0.7,-0.6,-0.67,-0.9,1.0,-0.3,-0.3,-0.8,-0.67,-0.1
prop_LEAD,-0.3,-0.3,-0.3,0.3,-0.3,0.3,-0.46,0.8,0.6,0.72,0.1,-0.3,1.0,-0.2,0.2,-0.41,-0.9
prop_COMM,0.3,0.3,0.3,0.0,0.3,0.0,0.56,-0.3,-0.5,-0.41,0.4,-0.3,-0.2,1.0,0.3,0.05,0.5
prop_QCULT,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.36,0.5,0.6,0.56,0.5,-0.8,0.2,0.3,1.0,0.56,0.1
prop_CHAL,-0.72,-0.72,-0.72,-0.97,-0.72,-0.97,0.16,0.21,0.36,0.29,0.67,-0.67,-0.41,0.05,0.56,1.0,0.62
prop_OUTC,0.1,0.1,0.1,-0.5,0.1,-0.5,0.62,-0.6,-0.5,-0.56,0.3,-0.1,-0.9,0.5,0.1,0.62,1.0
