cluster_kmeans,00_CONTEXT,01_STRUCTURAL,02_INDIVIDUAL,03_COLLECTIVE,04_LEADERSHIP,05_COMMUNICATION_PARTICIPATION,06_QCULT_IDENTIFICATION,07_RELATED_OUTCOMES,08_CHALLENGES,09_CAUSES,10_SOLUTIONS
0,6,41,34,20,34,57,10,27,19,1,7
1,29,30,21,11,15,26,8,19,33,5,30
2,3,46,45,47,34,61,24,29,48,6,19
3,1,25,43,25,29,22,48,47,47,12,20
4,6,18,49,28,47,40,44,46,55,22,56
5,147,6,0,0,1,0,0,0,1,0,0
6,2,56,20,23,24,42,40,28,18,5,10
7,0,9,62,32,35,22,35,44,22,6,19
8,2,11,11,10,10,16,12,10,9,2,0
9,53,126,7,1,5,12,1,3,6,1,2
10,6,17,12,12,11,11,10,12,6,1,2
