Cụm,Chủ đề người chiếm ưu thế,% ưu thế,Từ khóa đặc trưng
5,00_CONTEXT,94.8,"ctx, trình, học, chương, chương trình, lớp, quốc, tế"
9,01_STRUCTURAL,58.1,"cái, học, trường, qa, năm, trình, chương, chương trình"
0,05_COMMUNICATION_PARTICIPATION,22.3,"cái, viên, trường, giáo, học, giáo viên, về, việc"
7,02_INDIVIDUAL,21.7,"cái, trường, làm, việc, phải, về, họ, sự"
6,01_STRUCTURAL,20.9,"cái, qa, viên, học, giáo, trường, out, giáo viên"
8,05_COMMUNICATION_PARTICIPATION,17.2,"cái, gv_1 tra_gvthcs_, gv_1, tra_gvthcs_, tra_gvthcs_ tra_gvthcs_thpt1, tra_gvthcs_thpt1, họ, phải"
10,01_STRUCTURAL,17.0,"the, and, we, of, to, it, be, is"
2,05_COMMUNICATION_PARTICIPATION,16.9,"cái, họ, trường, làm, về, viên, giáo, học"
3,06_QCULT_IDENTIFICATION,15.0,"cái, trường, họ, làm, phải, học, viên, về"
1,08_CHALLENGES,14.5,"the, and, we, to, in, is, of, school"
4,10_SOLUTIONS,13.6,"cái, họ, phải, làm, rồi, trường, học, ta"
