code,n,sent
COMM-BARRIER,10,-0.765
CHAL-DECISION,9,-0.718
CAUSE-LEADERSHIP,12,-0.715
QA-EVIDENCE,12,-0.707
COMMIT-EXTRA,9,-0.681
LEAD-LACK-RECOG,8,-0.61
COMM-RESPOND,12,-0.604
QCULT-A-INDECISIVE,10,-0.589
SOL-GOV-MECH,9,-0.553
CHAL-SUSTAIN,14,-0.519
CHAL-CURR-ALIGN,10,-0.518
COMM-MEETING,19,-0.504
RESP-TEAM-LEAD,12,-0.472
CHAL-COMM-FEEDBACK,11,-0.449
COMM-PARENT-DIALOGUE,11,-0.447
CHAL-GOV-MECH,15,-0.444
GOV-MECH,11,-0.437
QA-MONITOR,17,-0.432
QA-DEPT,10,-0.417
QA-ROLE-CLARITY,15,-0.41
CHAL-CURR-INTL,10,-0.402
COMM-PARENT-LISTEN,9,-0.402
QA-TRANSPARENT,13,-0.38
LEAD-FEEDBACK-USEFUL,9,-0.373
LEAD-EXPECT-GAP,17,-0.371
RESP-PARENT,12,-0.344
CAUSE-GOVERNANCE,10,-0.343
QA-DATA-USE,13,-0.34
QA-IMPLEMENT,10,-0.331
LEAD-EMPOWER,10,-0.318
TRUST-IMPACT,16,-0.311
QCULT-MIXED,19,-0.3
COMM-DIGITAL,19,-0.296
QA-PROC-DOCUMENT,17,-0.285
QA-COORD,8,-0.284
LEAD-EXPECT-QUALITY,13,-0.283
QA-EVAL-KBI-KPI,15,-0.28
COMM-QUALITY-INFO,8,-0.276
COMM-LISTEN,12,-0.271
CHAL-HR-CAPACITY,13,-0.268
CHAL-CURR-CONF,9,-0.265
COMMIT-INITIATIVE,13,-0.264
PART-FEEDBACK,14,-0.264
GOV-DECISION,12,-0.261
CHAL-HR-RETENTION,9,-0.255
OUT-DISSAT,22,-0.241
QCULT-C-ADHOC,16,-0.238
OWNERSHIP,15,-0.236
OUT-PD-IMPROVE,10,-0.236
QA-SURVEY-STAFF,14,-0.222
CAUSE-EXTERNAL,12,-0.214
QA-COMPLIANCE,12,-0.203
COMM-TWOWAY,19,-0.198
VALUE-FORMAL,8,-0.191
QA-IMPROVE,16,-0.19
QA-GOAL-GAP,15,-0.185
LEAD-CONNECT-SOLUTION,8,-0.18
COMM-ONEDIR,11,-0.145
COMM-BGH-GV,8,-0.139
TRUST-SYSTEM,8,-0.136
QA-SURVEY-STUDENT,10,-0.132
LEAD-TURNOVER,10,-0.123
RESP-SUPPORT-COLLEAGUE,13,-0.114
