,Degree,Betweenness,Eigenvector,Khối chủ đề
VALUE-SHARED,1.0,0.0011,0.1352,03_COLLECTIVE
CTX-TENURE-SCHOOL,1.0,0.0011,0.1352,00_CONTEXT
TRUST-COLLEAGUE,0.9783,0.0013,0.1299,03_COLLECTIVE
CTX-ROLE,0.9891,0.0012,0.1296,00_CONTEXT
CTX-STUDENTS,0.9783,0.0012,0.1254,00_CONTEXT
LEAD-SUPPORT,0.9855,0.0017,0.1253,04_LEADERSHIP
OUT-DISSAT,0.9819,0.0011,0.1244,07_RELATED_OUTCOMES
CTX-PROGRAM,0.9493,0.0009,0.1235,00_CONTEXT
OUT-PD-EFFECT,0.9601,0.001,0.1214,07_RELATED_OUTCOMES
OUT-JOB-SAT,0.9601,0.0013,0.1202,07_RELATED_OUTCOMES
QA-GOAL-COMM,0.9601,0.0009,0.1195,01_STRUCTURAL
QA-GOAL-AWARE,0.9638,0.0017,0.1188,01_STRUCTURAL
TRUST-SUPPORT,0.9457,0.0019,0.1187,03_COLLECTIVE
COMMIT-QUALITY,0.9275,0.0008,0.1183,02_INDIVIDUAL
PART-VOICE,0.9601,0.0016,0.1182,05_COMMUNICATION_PARTICIPATION
RESP-STUDENT,0.9457,0.0014,0.1165,02_INDIVIDUAL
OUT-PD-FORM,0.942,0.0012,0.1134,07_RELATED_OUTCOMES
ENG-MOTIVATION,0.9384,0.0014,0.1123,02_INDIVIDUAL
ENG-RETENTION,0.9275,0.0015,0.1093,02_INDIVIDUAL
COMM-TWOWAY,0.9203,0.0019,0.1085,05_COMMUNICATION_PARTICIPATION
COMM-DIGITAL,0.9312,0.0024,0.1074,05_COMMUNICATION_PARTICIPATION
QCULT-MIXED,0.913,0.0018,0.1073,06_QCULT_IDENTIFICATION
COMM-MEETING,0.9167,0.0014,0.1071,05_COMMUNICATION_PARTICIPATION
CTX-LEVELS,0.9167,0.0012,0.1071,00_CONTEXT
CTX-INTERNATIONAL,0.8986,0.0019,0.1019,00_CONTEXT
CTX-BILINGUAL,0.8913,0.0018,0.1008,00_CONTEXT
VALUE-GAP,0.9022,0.0013,0.0999,03_COLLECTIVE
OUT-ORG-SAT,0.8949,0.0017,0.0992,07_RELATED_OUTCOMES
LEAD-EXPECT-GAP,0.8877,0.0015,0.0973,04_LEADERSHIP
QA-PROC-DOCUMENT,0.8804,0.0014,0.0966,01_STRUCTURAL
QA-MONITOR,0.9022,0.0019,0.096,01_STRUCTURAL
QA-SURVEY-PARENT,0.8732,0.0021,0.0938,01_STRUCTURAL
TRUST-IMPACT,0.8913,0.0025,0.0933,03_COLLECTIVE
RESP-SHARE,0.9094,0.0026,0.0931,02_INDIVIDUAL
QCULT-TYPE-REASON,0.8188,0.0013,0.0923,06_QCULT_IDENTIFICATION
QCULT-C-ADHOC,0.8768,0.0024,0.091,06_QCULT_IDENTIFICATION
CTX-SIZE,0.8406,0.0016,0.0906,00_CONTEXT
QA-FEEDBACK-LOOP,0.8333,0.0019,0.0906,01_STRUCTURAL
QA-IMPROVE,0.8297,0.0014,0.0904,01_STRUCTURAL
OUT-ORG-COMMIT-QUALITY,0.8587,0.0018,0.0888,07_RELATED_OUTCOMES
OUT-PD-INTERNAL,0.8297,0.0016,0.0869,07_RELATED_OUTCOMES
LEAD-MODEL,0.837,0.002,0.0867,04_LEADERSHIP
QA-ROLE-CLARITY,0.8261,0.0018,0.0864,01_STRUCTURAL
QA-EXTERNAL-ACCRED,0.8333,0.0019,0.086,01_STRUCTURAL
QA-SURVEY,0.8478,0.003,0.086,01_STRUCTURAL
OWNERSHIP,0.8116,0.0017,0.0858,02_INDIVIDUAL
