code,delta,z,Khối
OUT-ORG-SAT,-1.494,-1.454,07_RELATED_OUTCOMES
QCULT-TYPE-REASON,-1.437,-1.396,06_QCULT_IDENTIFICATION
OWNERSHIP,-1.376,-1.335,02_INDIVIDUAL
TRUST-LEADER,-1.376,-1.335,03_COLLECTIVE
LEAD-EXPECT-QUALITY,-1.242,-1.199,04_LEADERSHIP
ENG-ORG,-1.242,-1.199,02_INDIVIDUAL
QCULT-MIXED,-0.854,-1.149,06_QCULT_IDENTIFICATION
CAUSE-LEADERSHIP,-1.167,-1.125,09_CAUSES
QVAL-RECOGNITION,-1.167,-1.125,06_QCULT_IDENTIFICATION
QA-COMPLIANCE,-1.167,-1.125,01_STRUCTURAL
OUT-POLICY-SAT,-1.167,-1.125,07_RELATED_OUTCOMES
QA-EVIDENCE,-1.167,-1.125,01_STRUCTURAL
COMM-RESPOND,-1.167,-1.125,05_COMMUNICATION_PARTICIPATION
COMM-LISTEN,-1.167,-1.125,05_COMMUNICATION_PARTICIPATION
QVAL-PRIORITY-TOP5,-1.087,-1.044,06_QCULT_IDENTIFICATION
COMM-PARENT-DIALOGUE,-1.087,-1.044,05_COMMUNICATION_PARTICIPATION
QA-MONITOR,-0.742,-0.993,01_STRUCTURAL
QA-IMPLEMENT,-0.999,-0.957,01_STRUCTURAL
TRUST-LEVEL-HIGH,-0.999,-0.957,03_COLLECTIVE
CHAL-CURR-INTL,-0.999,-0.957,08_CHALLENGES
QA-DEPT,-0.999,-0.957,01_STRUCTURAL
QA-SURVEY-PARENT,-0.681,-0.908,01_STRUCTURAL
QCULT-C-ADHOC,-0.681,-0.908,06_QCULT_IDENTIFICATION
LEAD-SUPPORT,-0.548,-0.888,04_LEADERSHIP
OUT-DISSAT,-0.548,-0.888,07_RELATED_OUTCOMES
CTX-STUDENTS,-0.548,-0.888,00_CONTEXT
COMMIT-EXTRA,-0.904,-0.862,02_INDIVIDUAL
QA-EXTERNAL-ACCRED,-0.616,-0.819,01_STRUCTURAL
PART-VOICE,-0.499,-0.806,05_COMMUNICATION_PARTICIPATION
OUT-JOB-SAT,-0.499,-0.806,07_RELATED_OUTCOMES
COMMIT-QUALITY,-0.499,-0.806,02_INDIVIDUAL
COLLAB-PEER,-0.798,-0.757,05_COMMUNICATION_PARTICIPATION
LEAD-LACK-RECOG,-0.798,-0.757,04_LEADERSHIP
QVAL-SUSTAIN,-0.798,-0.757,06_QCULT_IDENTIFICATION
PART-WORKSHOP,-0.798,-0.757,05_COMMUNICATION_PARTICIPATION
LEAD-RECOGNITION,-0.798,-0.757,04_LEADERSHIP
LEAD-EXPECT-CLEAR,-0.798,-0.757,04_LEADERSHIP
LEAD-CONNECT-SOLUTION,-0.798,-0.757,04_LEADERSHIP
CTX-LEAD-STRUCT,-0.547,-0.723,00_CONTEXT
CHAL-SUSTAIN,-0.547,-0.723,08_CHALLENGES
LEARN-MINDSET,-0.547,-0.723,02_INDIVIDUAL
ENG-MOTIVATION,-0.447,-0.72,02_INDIVIDUAL
LEAD-MOTIVATION,-0.68,-0.641,04_LEADERSHIP
CTX-INTEGRATED,-0.68,-0.641,00_CONTEXT
TRUST-PROTECTION,-0.68,-0.641,03_COLLECTIVE
VALUE-COLLECTIVE,-0.68,-0.641,03_COLLECTIVE
CHAL-EVAL,-0.68,-0.641,08_CHALLENGES
CHAL-HR-COMPENSATION,-0.68,-0.641,08_CHALLENGES
COMM-PARENT-RESPOND,-0.68,-0.641,05_COMMUNICATION_PARTICIPATION
AGENCY,-0.68,-0.641,02_INDIVIDUAL
CAUSE-CURRICULUM,-0.68,-0.641,09_CAUSES
ENG-RETENTION,-0.393,-0.63,02_INDIVIDUAL
COMM-MEETING,-0.393,-0.63,05_COMMUNICATION_PARTICIPATION
COMM-DIGITAL,-0.393,-0.63,05_COMMUNICATION_PARTICIPATION
RESP-SUPPORT-COLLEAGUE,-0.472,-0.622,02_INDIVIDUAL
CTX-TENURE-SCHOOL,-0.306,-0.562,00_CONTEXT
VALUE-SHARED,-0.306,-0.562,03_COLLECTIVE
RESP-TEAM-LEAD,-0.392,-0.513,02_INDIVIDUAL
RESP-PARENT,-0.392,-0.513,02_INDIVIDUAL
PART-INITIATIVE,-0.392,-0.513,05_COMMUNICATION_PARTICIPATION
VALUE-INTERNALIZED,-0.392,-0.513,03_COLLECTIVE
CAUSE-EXTERNAL,-0.392,-0.513,09_CAUSES
LEAD-FEEDBACK-POS,-0.546,-0.511,04_LEADERSHIP
CTX-DEPT,-0.546,-0.511,00_CONTEXT
CHAL-DATA,-0.546,-0.511,08_CHALLENGES
TRUST-LEVEL-MID,-0.546,-0.511,03_COLLECTIVE
CTX-ROLE,-0.259,-0.474,00_CONTEXT
TRUST-COLLEAGUE,-0.259,-0.474,03_COLLECTIVE
LEAD-EXPECT-GAP,-0.274,-0.436,04_LEADERSHIP
VALUE-GAP,-0.274,-0.436,03_COLLECTIVE
QA-PROC-DOCUMENT,-0.274,-0.436,01_STRUCTURAL
QVAL-RESP-COMMIT,-0.305,-0.396,06_QCULT_IDENTIFICATION
QVAL-CONTINUOUS,-0.305,-0.396,06_QCULT_IDENTIFICATION
OUT-PD-FREQ,-0.305,-0.396,07_RELATED_OUTCOMES
QVAL-TRANSPARENT,-0.305,-0.396,06_QCULT_IDENTIFICATION
ENG-COLLEAGUE,-0.305,-0.396,02_INDIVIDUAL
QA-GOAL-ALIGN,-0.305,-0.396,01_STRUCTURAL
CTX-PROGRAM,-0.21,-0.383,00_CONTEXT
COLLAB-CROSS-DEPT,-0.391,-0.362,05_COMMUNICATION_PARTICIPATION
SELF-EVAL,-0.391,-0.362,02_INDIVIDUAL
QA-GOAL-ANNUAL,-0.391,-0.362,01_STRUCTURAL
QA-REPORT,-0.391,-0.362,01_STRUCTURAL
CHAL-FORMAL,-0.391,-0.362,08_CHALLENGES
LEAD-STYLE,-0.391,-0.362,04_LEADERSHIP
OUT-PD-RESPONSIBLE,-0.391,-0.362,07_RELATED_OUTCOMES
QA-GOAL-BINDING,-0.391,-0.362,01_STRUCTURAL
OUT-SELF-COMMIT,-0.391,-0.362,07_RELATED_OUTCOMES
