,precision,recall,f1-score,support
00_CONTEXT,0.583,0.378,0.459,37.0
01_STRUCTURAL,0.75,0.046,0.087,65.0
02_INDIVIDUAL,0.25,0.104,0.147,48.0
03_COLLECTIVE,0.167,0.207,0.185,29.0
04_LEADERSHIP,0.0,0.0,0.0,43.0
05_COMMUNICATION_PARTICIPATION,0.0,0.0,0.0,37.0
06_QCULT_IDENTIFICATION,0.088,0.788,0.158,33.0
07_RELATED_OUTCOMES,0.0,0.0,0.0,44.0
08_CHALLENGES,0.0,0.0,0.0,39.0
09_CAUSES,0.067,0.111,0.083,9.0
10_SOLUTIONS,0.0,0.0,0.0,16.0
accuracy,0.138,0.138,0.138,0.138
macro avg,0.173,0.149,0.102,400.0
weighted avg,0.227,0.138,0.102,400.0
