code,n_seg,n_src,n_sch,sheet
VALUE-SHARED,24,24,5,03_COLLECTIVE
CTX-TENURE-SCHOOL,24,24,5,00_CONTEXT
CTX-ROLE,23,23,5,00_CONTEXT
TRUST-COLLEAGUE,23,23,5,03_COLLECTIVE
LEAD-SUPPORT,22,22,5,04_LEADERSHIP
OUT-DISSAT,22,22,5,07_RELATED_OUTCOMES
CTX-PROGRAM,22,22,5,00_CONTEXT
CTX-STUDENTS,22,22,5,00_CONTEXT
QA-GOAL-AWARE,21,21,5,01_STRUCTURAL
QA-GOAL-COMM,21,21,5,01_STRUCTURAL
OUT-JOB-SAT,21,21,5,07_RELATED_OUTCOMES
COMMIT-QUALITY,21,21,5,02_INDIVIDUAL
RESP-STUDENT,21,21,5,02_INDIVIDUAL
PART-VOICE,21,21,5,05_COMMUNICATION_PARTICIPATION
OUT-PD-EFFECT,21,21,5,07_RELATED_OUTCOMES
TRUST-SUPPORT,21,21,5,03_COLLECTIVE
ENG-MOTIVATION,20,20,5,02_INDIVIDUAL
OUT-PD-FORM,20,20,5,07_RELATED_OUTCOMES
CTX-LEVELS,19,19,5,00_CONTEXT
COMM-DIGITAL,19,19,5,05_COMMUNICATION_PARTICIPATION
COMM-MEETING,19,19,5,05_COMMUNICATION_PARTICIPATION
ENG-RETENTION,19,19,5,02_INDIVIDUAL
QCULT-MIXED,19,19,4,06_QCULT_IDENTIFICATION
COMM-TWOWAY,19,19,5,05_COMMUNICATION_PARTICIPATION
CTX-INTERNATIONAL,18,18,5,00_CONTEXT
CTX-BILINGUAL,18,18,5,00_CONTEXT
OUT-ORG-SAT,17,17,4,07_RELATED_OUTCOMES
QA-MONITOR,17,17,5,01_STRUCTURAL
VALUE-GAP,17,17,5,03_COLLECTIVE
QA-PROC-DOCUMENT,17,17,5,01_STRUCTURAL
LEAD-EXPECT-GAP,17,17,5,04_LEADERSHIP
QCULT-TYPE-REASON,16,16,5,06_QCULT_IDENTIFICATION
QA-SURVEY-PARENT,16,16,5,01_STRUCTURAL
TRUST-IMPACT,16,16,5,03_COLLECTIVE
RESP-SHARE,16,16,5,02_INDIVIDUAL
QCULT-C-ADHOC,16,16,5,06_QCULT_IDENTIFICATION
QA-IMPROVE,16,16,5,01_STRUCTURAL
QA-FEEDBACK-LOOP,16,16,5,01_STRUCTURAL
CTX-SIZE,16,16,5,00_CONTEXT
QA-EXTERNAL-ACCRED,15,15,5,01_STRUCTURAL
TRUST-LEADER,15,15,5,03_COLLECTIVE
CHAL-GOV-MECH,15,15,4,08_CHALLENGES
LEAD-MODEL,15,15,5,04_LEADERSHIP
OUT-ORG-COMMIT-QUALITY,15,15,4,07_RELATED_OUTCOMES
OWNERSHIP,15,15,5,02_INDIVIDUAL
OUT-PD-INTERNAL,15,15,5,07_RELATED_OUTCOMES
QA-EVAL-KBI-KPI,15,15,5,01_STRUCTURAL
QA-SURVEY,15,15,4,01_STRUCTURAL
QA-GOAL-GAP,15,15,4,01_STRUCTURAL
QA-ROLE-CLARITY,15,15,4,01_STRUCTURAL
CTX-FOREIGN-LOCAL,14,14,5,00_CONTEXT
QA-SURVEY-STAFF,14,14,4,01_STRUCTURAL
CHAL-SUSTAIN,14,14,5,08_CHALLENGES
OUT-ORG-ENG,14,14,5,07_RELATED_OUTCOMES
PART-FEEDBACK,14,14,5,05_COMMUNICATION_PARTICIPATION
QA-STANDARD,14,14,5,01_STRUCTURAL
LEARN-MINDSET,14,14,4,02_INDIVIDUAL
CTX-LEAD-STRUCT,14,14,4,00_CONTEXT
CHAL-HR-CAPACITY,13,13,5,08_CHALLENGES
QA-DATA-USE,13,13,4,01_STRUCTURAL
QA-TRANSPARENT,13,13,4,01_STRUCTURAL
RESP-SUPPORT-COLLEAGUE,13,13,4,02_INDIVIDUAL
OUT-PD-PLAN,13,13,3,07_RELATED_OUTCOMES
ENG-ORG,13,13,4,02_INDIVIDUAL
ENG-PRIDE,13,13,5,02_INDIVIDUAL
