,degree,betweenness,eigenvector,block,n_seg
CTX-TENURE-SCHOOL,1.0,0.0181,0.1823,00_CONTEXT,24
VALUE-SHARED,1.0,0.0181,0.1823,03_COLLECTIVE,24
TRUST-COLLEAGUE,0.9412,0.0168,0.175,03_COLLECTIVE,23
CTX-ROLE,0.9412,0.0144,0.1745,00_CONTEXT,23
CTX-STUDENTS,0.8739,0.0114,0.1667,00_CONTEXT,22
LEAD-SUPPORT,0.8739,0.0221,0.1657,04_LEADERSHIP,22
OUT-DISSAT,0.8403,0.0067,0.1649,07_RELATED_OUTCOMES,22
CTX-PROGRAM,0.8655,0.022,0.1644,00_CONTEXT,22
OUT-PD-EFFECT,0.8319,0.0129,0.1607,07_RELATED_OUTCOMES,21
OUT-JOB-SAT,0.8151,0.0086,0.1588,07_RELATED_OUTCOMES,21
QA-GOAL-AWARE,0.8487,0.0222,0.1577,01_STRUCTURAL,21
TRUST-SUPPORT,0.7983,0.0254,0.1566,03_COLLECTIVE,21
QA-GOAL-COMM,0.7815,0.0136,0.156,01_STRUCTURAL,21
COMMIT-QUALITY,0.7983,0.0258,0.1556,02_INDIVIDUAL,21
PART-VOICE,0.7815,0.0108,0.1542,05_COMMUNICATION_PARTICIPATION,21
RESP-STUDENT,0.7815,0.027,0.1524,02_INDIVIDUAL,21
OUT-PD-FORM,0.7059,0.0046,0.1459,07_RELATED_OUTCOMES,20
ENG-MOTIVATION,0.7143,0.0098,0.1442,02_INDIVIDUAL,20
ENG-RETENTION,0.7059,0.022,0.1384,02_INDIVIDUAL,19
COMM-TWOWAY,0.6555,0.016,0.1363,05_COMMUNICATION_PARTICIPATION,19
COMM-DIGITAL,0.6975,0.0337,0.1355,05_COMMUNICATION_PARTICIPATION,19
QCULT-MIXED,0.6723,0.0158,0.1345,06_QCULT_IDENTIFICATION,19
COMM-MEETING,0.6555,0.0128,0.1338,05_COMMUNICATION_PARTICIPATION,19
CTX-LEVELS,0.6471,0.0123,0.1328,00_CONTEXT,19
CTX-BILINGUAL,0.6303,0.0252,0.125,00_CONTEXT,18
CTX-INTERNATIONAL,0.5966,0.0133,0.1246,00_CONTEXT,18
VALUE-GAP,0.5714,0.0144,0.1181,03_COLLECTIVE,17
OUT-ORG-SAT,0.5714,0.0115,0.117,07_RELATED_OUTCOMES,17
QA-PROC-DOCUMENT,0.5378,0.0175,0.1119,01_STRUCTURAL,17
LEAD-EXPECT-GAP,0.5126,0.0053,0.1112,04_LEADERSHIP,17
QA-MONITOR,0.5042,0.0048,0.1087,01_STRUCTURAL,17
QA-SURVEY-PARENT,0.521,0.0078,0.1082,01_STRUCTURAL,16
QCULT-TYPE-REASON,0.5042,0.004,0.1068,06_QCULT_IDENTIFICATION,16
RESP-SHARE,0.5126,0.0133,0.106,02_INDIVIDUAL,16
QA-FEEDBACK-LOOP,0.4958,0.0138,0.1043,01_STRUCTURAL,16
QA-IMPROVE,0.5126,0.0107,0.1039,01_STRUCTURAL,16
TRUST-IMPACT,0.4874,0.0082,0.1034,03_COLLECTIVE,16
CTX-SIZE,0.4874,0.0091,0.1023,00_CONTEXT,16
QCULT-C-ADHOC,0.4706,0.0032,0.1015,06_QCULT_IDENTIFICATION,16
OUT-ORG-COMMIT-QUALITY,0.4706,0.0117,0.0967,07_RELATED_OUTCOMES,15
QA-ROLE-CLARITY,0.4286,0.0015,0.0939,01_STRUCTURAL,15
OUT-PD-INTERNAL,0.4118,0.003,0.0916,07_RELATED_OUTCOMES,15
QA-EVAL-KBI-KPI,0.4118,0.0035,0.0904,01_STRUCTURAL,15
QA-SURVEY,0.4034,0.0024,0.0903,01_STRUCTURAL,15
QA-EXTERNAL-ACCRED,0.437,0.0139,0.0894,01_STRUCTURAL,15
CHAL-GOV-MECH,0.4202,0.0146,0.0889,08_CHALLENGES,15
LEAD-MODEL,0.395,0.003,0.0881,04_LEADERSHIP,15
TRUST-LEADER,0.3613,0.0024,0.0834,03_COLLECTIVE,15
OWNERSHIP,0.3529,0.001,0.0829,02_INDIVIDUAL,15
QA-GOAL-GAP,0.3529,0.0049,0.0804,01_STRUCTURAL,15
OUT-ORG-ENG,0.3529,0.0004,0.0803,07_RELATED_OUTCOMES,14
PART-FEEDBACK,0.3361,0.0009,0.0768,05_COMMUNICATION_PARTICIPATION,14
LEARN-MINDSET,0.3529,0.004,0.0761,02_INDIVIDUAL,14
CHAL-SUSTAIN,0.3277,0.0015,0.0749,08_CHALLENGES,14
CTX-LEAD-STRUCT,0.3277,0.004,0.0728,00_CONTEXT,14
QA-SURVEY-STAFF,0.3025,0.0015,0.0707,01_STRUCTURAL,14
QA-STANDARD,0.3109,0.0032,0.0704,01_STRUCTURAL,14
CTX-FOREIGN-LOCAL,0.3025,0.0001,0.0701,00_CONTEXT,14
CTX-TENURE-EDU,0.3025,0.0005,0.0679,00_CONTEXT,13
LEAD-EXPECT-QUALITY,0.3025,0.0016,0.0664,04_LEADERSHIP,13
COMMIT-CONTRIBUTE,0.2689,0.0001,0.063,02_INDIVIDUAL,13
QA-DATA-USE,0.2689,0.0001,0.0618,01_STRUCTURAL,13
COMMIT-INITIATIVE,0.2605,0.0001,0.0617,02_INDIVIDUAL,13
RESP-SUPPORT-COLLEAGUE,0.2605,0.0,0.0617,02_INDIVIDUAL,13
ENG-PRIDE,0.2605,0.0002,0.0608,02_INDIVIDUAL,13
ENG-ORG,0.2605,0.0002,0.0605,02_INDIVIDUAL,13
QA-TRANSPARENT,0.2605,0.0001,0.0599,01_STRUCTURAL,13
OUT-PD-PLAN,0.2605,0.0001,0.0597,07_RELATED_OUTCOMES,13
CHAL-HR-CAPACITY,0.2269,0.0,0.0567,08_CHALLENGES,13
CTX-TEACHERS,0.2269,0.0,0.0548,00_CONTEXT,13
