code,TrA,TrB,TrC,TrD,TrE,n_schools,total,divergence
AGENCY,4,3,0,0,0,2,7,0.576
CAUSE-COMM,0,2,1,0,1,3,4,0.354
CAUSE-CURRICULUM,0,2,1,2,2,4,7,0.16
CAUSE-EXTERNAL,3,3,1,2,3,5,12,0.04
CAUSE-GOVERNANCE,0,9,0,0,1,2,10,0.798
CAUSE-LEADERSHIP,3,7,1,0,1,4,12,0.332
CAUSE-OPERATION,1,1,0,0,0,2,2,0.569
CAUSE-PEOPLE,2,1,1,0,0,3,4,0.354
CAUSE-POLICY,0,1,1,0,0,2,2,0.569
CAUSE-RESOURCE,3,2,2,1,0,4,8,0.179
CHAL-BUDGET,1,2,0,1,1,4,5,0.172
CHAL-COLLAB,0,1,0,0,1,2,2,0.569
CHAL-COMM-COLLAB,0,1,0,0,0,1,1,1.0
CHAL-COMM-FEEDBACK,2,6,1,0,2,4,11,0.274
CHAL-COMM-LISTEN,0,1,0,0,2,2,3,0.605
CHAL-COMM-ONEWAY,0,2,0,0,1,2,3,0.605
CHAL-CONFLICT,0,3,0,0,0,1,3,1.0
CHAL-CULT-DIFF,2,5,0,0,1,3,8,0.441
CHAL-CURR-ALIGN,1,3,2,1,3,5,10,0.065
CHAL-CURR-CONF,3,2,0,2,2,4,9,0.149
CHAL-CURR-INTL,3,4,0,2,1,4,10,0.205
CHAL-CURRICULUM,0,1,0,0,0,1,1,1.0
CHAL-DATA,1,4,0,0,1,3,6,0.461
CHAL-DECISION,0,7,1,0,1,3,9,0.575
CHAL-EVAL,3,3,0,0,1,3,7,0.376
CHAL-FORMAL,2,1,1,0,1,4,5,0.172
CHAL-GOV-MECH,1,12,0,1,1,4,15,0.553
CHAL-HIERARCHY,0,1,0,0,0,1,1,1.0
CHAL-HR-CAPACITY,2,7,2,1,1,5,13,0.19
CHAL-HR-COMPENSATION,2,4,0,1,0,3,7,0.406
CHAL-HR-LOAD,0,3,0,1,2,3,6,0.372
CHAL-HR-RETENTION,2,4,1,1,1,5,9,0.113
CHAL-HR-TURNOVER,2,2,0,1,2,4,7,0.16
CHAL-LEAD-GOV,0,1,0,0,0,1,1,1.0
CHAL-LEAD-SUPPORT,1,4,1,0,1,4,7,0.283
CHAL-LEAD-TURNOVER,3,2,0,0,1,3,6,0.372
CHAL-LEAD-UNCLEAR,2,5,0,0,0,2,7,0.628
CHAL-MINDSET,1,1,0,0,0,2,2,0.569
CHAL-OPENNESS,0,1,0,0,0,1,1,1.0
CHAL-PARENT-COMM,1,0,0,0,2,2,3,0.605
CHAL-PARENT-EXPECT,1,4,0,1,1,4,7,0.283
CHAL-PD,2,3,0,0,2,3,7,0.33
CHAL-POLICY-PRACTICE,0,3,1,0,2,3,6,0.372
CHAL-QA-PROC,0,5,1,0,1,3,7,0.505
CHAL-QUALITY-AWARE,0,1,1,0,0,2,2,0.569
CHAL-RESOURCE,0,4,0,0,0,1,4,1.0
CHAL-SERVICE,1,1,0,1,1,4,4,0.139
CHAL-SHARED-VALUE,0,2,1,0,0,2,3,0.605
CHAL-SPACE,1,2,1,1,1,5,6,0.03
CHAL-STUDENT-DIVERSITY,1,3,0,1,1,4,6,0.228
CHAL-SUSTAIN,1,6,2,2,3,5,14,0.107
CHAL-SYSTEM,1,0,1,0,0,2,2,0.569
CHAL-TIME,1,1,0,0,1,3,3,0.317
CHAL-TOOL,0,3,0,0,0,1,3,1.0
CHAL-TRAINING,1,1,1,0,0,3,3,0.317
CHAL-TRANSPARENCY,0,3,0,0,1,2,4,0.651
CHAL-TRUST,2,2,1,0,0,3,5,0.345
COLLAB-CROSS-DEPT,2,1,0,0,2,3,5,0.345
COLLAB-CROSS-LEVEL,1,0,0,1,2,3,4,0.354
COLLAB-LIMIT,0,2,0,1,1,3,4,0.354
COLLAB-PEER,3,3,1,0,1,4,8,0.22
COLLAB-TEAM,2,4,2,2,2,5,12,0.03
COLLAB-TRUST,1,1,1,0,1,4,4,0.139
COMM-BARRIER,3,4,2,0,1,4,10,0.205
COMM-BGH-GV,2,5,1,0,0,3,8,0.441
