code,n,sent
QCULT-A-INDECISIVE,8,-0.976
COMM-BARRIER,9,-0.957
CHAL-GOV-MECH,12,-0.801
CHAL-COMM-FEEDBACK,9,-0.759
GOV-MECH,9,-0.744
SOL-GOV-MECH,8,-0.729
CAUSE-LEADERSHIP,12,-0.715
QA-EVIDENCE,12,-0.707
CHAL-CURR-ALIGN,9,-0.683
COMMIT-EXTRA,9,-0.681
COMM-MEETING,17,-0.674
CHAL-SUSTAIN,13,-0.629
QA-TRANSPARENT,11,-0.624
QA-ROLE-CLARITY,12,-0.617
LEAD-LACK-RECOG,8,-0.61
COMM-RESPOND,12,-0.604
RESP-TEAM-LEAD,11,-0.604
TRUST-IMPACT,12,-0.579
QA-DATA-USE,11,-0.576
COMM-ONEDIR,8,-0.565
COMM-PARENT-LISTEN,8,-0.563
LEAD-FEEDBACK-USEFUL,8,-0.528
GOV-DECISION,10,-0.505
CHAL-HR-CAPACITY,11,-0.492
COMMIT-INITIATIVE,11,-0.489
QA-EVAL-KBI-KPI,13,-0.476
PART-FEEDBACK,12,-0.463
LEAD-EMPOWER,9,-0.462
RESP-PARENT,11,-0.46
LEAD-EXPECT-GAP,15,-0.452
QA-PROC-DOCUMENT,15,-0.45
COMM-PARENT-DIALOGUE,11,-0.447
COMM-DIGITAL,17,-0.446
QA-GOAL-GAP,12,-0.432
QA-DEPT,10,-0.417
QA-SURVEY-STAFF,12,-0.417
QA-MONITOR,16,-0.407
COMM-TWOWAY,16,-0.403
CHAL-CURR-INTL,10,-0.402
QA-SURVEY-STUDENT,8,-0.402
CHAL-HR-RETENTION,8,-0.397
OUT-PD-IMPROVE,9,-0.371
QCULT-MIXED,18,-0.367
OUT-DISSAT,20,-0.358
QA-IMPROVE,14,-0.342
QA-IMPLEMENT,10,-0.331
QCULT-C-ADHOC,15,-0.32
CAUSE-EXTERNAL,11,-0.319
RESP-SPREAD-QVALUE,10,-0.297
QA-SURVEY,12,-0.29
COMMIT-CONTRIBUTE,10,-0.284
LEAD-EXPECT-QUALITY,13,-0.283
COMM-LISTEN,12,-0.271
QA-STANDARD,11,-0.254
LEAD-TURNOVER,9,-0.246
CTX-FOREIGN-LOCAL,11,-0.237
OWNERSHIP,15,-0.236
QA-FEEDBACK-LOOP,13,-0.223
RESP-TEACHING,8,-0.211
RESP-SUPPORT-COLLEAGUE,12,-0.206
QA-COMPLIANCE,12,-0.203
OUT-PD-PLAN,11,-0.194
SOL-SUSTAIN,9,-0.193
ENG-COLLEAGUE,10,-0.184
LEAD-CONNECT-SOLUTION,8,-0.18
OUT-PD-EFFECT,18,-0.152
QCULT-D-LEARNING,9,-0.142
QA-SURVEY-PARENT,15,-0.13
OUT-ORG-ENG,12,-0.118
OUT-PD-FREQ,10,-0.115
QVAL-TRANSPARENT,10,-0.088
CTX-LEAD-STRUCT,13,-0.075
COMM-TRANSPARENT,8,-0.056
QVAL-RESP-COMMIT,10,-0.055
QCULT-TYPE-REASON,16,-0.051
QA-EXTERNAL-ACCRED,14,-0.051
OUT-PD-FORM,17,-0.022
VALUE-GAP,15,-0.016
OUT-ORG-COMMIT-QUALITY,13,0.005
LEAD-RECOGNITION,8,0.014
QA-GOAL-COMM,18,0.03
TRUST-LEADER,15,0.039
ENG-RETENTION,17,0.043
LEAD-MODEL,13,0.051
QVAL-CLEAR-POLICY,8,0.071
COLLAB-PEER,8,0.097
CTX-LEVELS,16,0.103
CTX-TEACHERS,11,0.123
RESP-STUDENT,18,0.123
LEAD-SUPPORT,20,0.126
ENG-MOTIVATION,18,0.127
QVAL-TRUST-COLLAB,9,0.14
COMM-PARENT-PARTNERSHIP,8,0.142
COMM-OPEN,10,0.164
QA-GOAL-AWARE,18,0.172
QA-GOAL-ALIGN,10,0.185
QVAL-PRIORITY-TOP5,11,0.197
COLLAB-TEAM,9,0.198
CTX-MIDDLE-MGMT,9,0.199
QVAL-SUSTAIN,8,0.217
OUT-POLICY-SAT,12,0.226
LEAD-EXPECT-CLEAR,8,0.235
QVAL-RECOGNITION,12,0.239
OUT-PD-INTERNAL,13,0.247
CTX-PROGRAM,19,0.249
RESP-SHARE,14,0.249
PART-VOICE,19,0.251
VALUE-INTERNALIZED,11,0.251
QVAL-CONTINUOUS,10,0.278
ENG-ORG,13,0.286
PART-INITIATIVE,11,0.287
CTX-BILINGUAL,15,0.303
CTX-ROLE,20,0.332
OUT-ORG-SAT,16,0.35
OUT-WORK-ENG,9,0.362
CTX-SIZE,13,0.362
COMMIT-QUALITY,19,0.367
TRUST-COLLEAGUE,20,0.367
LEARN-MINDSET,12,0.385
CTX-TENURE-SCHOOL,21,0.389
LEAD-PD-SUPPORT,10,0.401
TRUST-SUPPORT,18,0.423
VALUE-SHARED,21,0.425
OUT-JOB-SAT,19,0.448
CTX-INTERNATIONAL,15,0.456
PART-WORKSHOP,8,0.464
CTX-STUDENTS,20,0.481
TRUST-LEVEL-HIGH,10,0.521
LEAD-ACCOMPANY,9,0.561
CTX-TENURE-EDU,11,0.594
ENG-PRIDE,10,0.87
