Yếu tố,Biến,F,p,eta2p
Trường,GLO,5.978,0.0001,0.08
Trường,OCM,0.916,0.4551,0.013
Trường,SAT_J,2.016,0.0925,0.028
Trường,SAT_O,8.087,0.0,0.105
Trường,WEG,2.169,0.0727,0.03
Trường,PRO,2.484,0.044,0.035
Thâm niên,GLO,3.417,0.0095,0.047
Thâm niên,OCM,2.162,0.0735,0.03
Thâm niên,SAT_J,2.467,0.0452,0.035
Thâm niên,SAT_O,3.536,0.0078,0.049
Thâm niên,WEG,1.724,0.1449,0.024
Thâm niên,PRO,2.052,0.0873,0.029
Độ tuổi,GLO,1.321,0.2623,0.019
Độ tuổi,OCM,0.25,0.9096,0.004
Độ tuổi,SAT_J,1.081,0.3663,0.015
Độ tuổi,SAT_O,1.262,0.2851,0.018
Độ tuổi,WEG,1.206,0.3086,0.017
Độ tuổi,PRO,0.742,0.5638,0.011
Nhóm khách thể,GLO,60.498,0.0,0.396
Nhóm khách thể,OCM,40.759,0.0,0.306
Nhóm khách thể,SAT_J,32.642,0.0,0.261
Nhóm khách thể,SAT_O,44.737,0.0,0.326
Nhóm khách thể,WEG,9.132,0.0,0.09
Nhóm khách thể,PRO,12.254,0.0,0.117
