Thang đo,Tên,CR,AVE,Căn AVE,Đạt AVE≥.50
NOR,Chuẩn mực,0.939,0.836,0.914,Đạt
STR,Chiến lược,0.911,0.773,0.879,Đạt
OPE,Hành động,0.889,0.729,0.854,Đạt
LED,Lãnh đạo,0.966,0.707,0.841,Đạt
COL,Giao tiếp,0.912,0.635,0.797,Đạt
PAR,Tham gia,0.769,0.459,0.678,Chưa đạt
TRU,Tin tưởng,0.832,0.557,0.747,Đạt
SHA,Giá trị chung,0.848,0.736,0.858,Đạt
COM,Cam kết chất lượng,0.774,0.538,0.734,Đạt
RES,Trách nhiệm,0.766,0.621,0.788,Đạt
ENG,Gắn kết chất lượng,0.767,0.453,0.673,Chưa đạt
GLO,Văn hóa chất lượng (tổng thể),0.947,0.692,0.832,Đạt
OCM,Cam kết tổ chức,0.859,0.67,0.819,Đạt
SAT_O,Hài lòng tổ chức,0.901,0.61,0.781,Đạt
SAT_J,Hài lòng công việc,0.853,0.597,0.773,Đạt
WEG,Gắn kết công việc,0.894,0.495,0.703,Chưa đạt
PRO,Phát triển chuyên môn,0.839,0.469,0.685,Chưa đạt
