Giá trị,SHA3: lượt chọn,SHA3: %,SHA4: lượt chọn top-5,SHA4: %
Trao đổi kinh nghiệm,215,76.5,111,39.5
Phát triển chất lượng liên tục,215,76.5,129,45.9
Tham gia quá trình ra quyết định,192,68.3,15,5.3
Tinh thần học hỏi lẫn nhau,189,67.3,103,36.7
Ghi nhận và đánh giá công việc,185,65.8,102,36.3
Trách nhiệm xã hội,185,65.8,23,8.2
Tự chịu trách nhiệm và cam kết,180,64.1,51,18.1
Quốc tế hóa,170,60.5,47,16.7
Phản biện mang tính xây dựng,166,59.1,52,18.5
Mục tiêu chất lượng có tính ràng buộc,163,58.0,29,10.3
Quản lý chất lượng toàn diện,136,48.4,75,26.7
Cam kết để xuất sắc,135,48.0,19,6.8
Giao tiếp cởi mở giữa các thành viên,132,47.0,40,14.2
Phát triển bền vững,131,46.6,100,35.6
Hợp tác liên môn,129,45.9,27,9.6
Giao tiếp minh bạch,121,43.1,123,43.8
Tự phản tư,119,42.3,34,12.1
Hiểu biết chung về chất lượng,108,38.4,41,14.6
Đa dạng,104,37.0,25,8.9
Chính sách chất lượng rõ ràng,97,34.5,100,35.6
Hợp tác dựa trên sự tin tưởng,96,34.2,66,23.5
Sáng tạo trong cách tiếp cận,83,29.5,34,12.1
Tự do trong phương pháp giảng dạy,83,29.5,37,13.2
Hợp tác với đối tác bên ngoài,72,25.6,22,7.8
