,NOR,STR,OPE,LED,COL,PAR,TRU,SHA,COM,RES,ENG,GLO,OCM,SAT_O,SAT_J,WEG,PRO
NOR,,0.926,0.916,0.696,0.781,0.542,0.76,0.838,0.222,0.553,0.426,0.877,0.681,0.816,0.708,0.506,0.601
STR,,,0.971,0.71,0.816,0.546,0.823,0.827,0.264,0.539,0.39,0.898,0.671,0.85,0.701,0.542,0.642
OPE,,,,0.718,0.83,0.567,0.802,0.855,0.269,0.557,0.396,0.917,0.708,0.832,0.743,0.588,0.644
LED,,,,,0.708,0.678,0.894,0.795,0.326,0.632,0.495,0.832,0.774,0.703,0.745,0.626,0.597
COL,,,,,,0.716,0.905,0.927,0.339,0.635,0.481,0.919,0.738,0.856,0.768,0.66,0.723
PAR,,,,,,,0.754,0.697,0.545,0.681,0.702,0.704,0.761,0.583,0.632,0.795,0.725
TRU,,,,,,,,0.902,0.33,0.695,0.531,0.894,0.813,0.824,0.793,0.674,0.685
SHA,,,,,,,,,0.321,0.681,0.465,0.952,0.828,0.857,0.817,0.671,0.779
COM,,,,,,,,,,0.475,0.68,0.358,0.409,0.251,0.262,0.549,0.457
RES,,,,,,,,,,,0.642,0.682,0.692,0.666,0.632,0.534,0.503
ENG,,,,,,,,,,,,0.48,0.619,0.364,0.473,0.722,0.618
GLO,,,,,,,,,,,,,0.814,0.873,0.789,0.688,0.721
OCM,,,,,,,,,,,,,,0.659,0.727,0.829,0.612
SAT_O,,,,,,,,,,,,,,,0.947,0.559,0.637
SAT_J,,,,,,,,,,,,,,,,0.593,0.659
WEG,,,,,,,,,,,,,,,,,0.656
PRO,,,,,,,,,,,,,,,,,
