Cặp khái niệm,HTMT,Mức
STR – OPE,0.971,"Vượt 0,90"
SHA – GLO,0.952,"Vượt 0,90"
SAT_O – SAT_J,0.947,"Vượt 0,90"
COL – SHA,0.927,"Vượt 0,90"
NOR – STR,0.926,"Vượt 0,90"
COL – GLO,0.919,"Vượt 0,90"
OPE – GLO,0.917,"Vượt 0,90"
NOR – OPE,0.916,"Vượt 0,90"
COL – TRU,0.905,"Vượt 0,90"
TRU – SHA,0.902,"Vượt 0,90"
STR – GLO,0.898,"0,85–0,90"
LED – TRU,0.894,"0,85–0,90"
TRU – GLO,0.894,"0,85–0,90"
NOR – GLO,0.877,"0,85–0,90"
GLO – SAT_O,0.873,"0,85–0,90"
SHA – SAT_O,0.857,"0,85–0,90"
COL – SAT_O,0.856,"0,85–0,90"
OPE – SHA,0.855,"0,85–0,90"
