Đặc điểm,Nhóm,Số lượng,Tỷ lệ (%)
Nhom_CB,GV người Việt,210,74.7
Nhom_CB,GV người nước ngoài,26,9.3
Nhom_CB,CBQL người Việt,35,12.5
Nhom_CB,CBQL người nước ngoài,10,3.6
Gioi_tinh,Nam,72,25.6
Gioi_tinh,Nữ,209,74.4
Do_tuoi,Dưới 30,104,37.0
Do_tuoi,30–39,125,44.5
Do_tuoi,40–49,44,15.7
Do_tuoi,50–59,7,2.5
Do_tuoi,Từ 60 trở lên,1,0.4
Bang_cap,Cử nhân,194,69.0
Bang_cap,Thạc sĩ,78,27.8
Bang_cap,Tiến sĩ,8,2.8
Bang_cap,Khác,1,0.4
Hop_dong,Xác định thời hạn,129,45.9
Hop_dong,Không xác định thời hạn,148,52.7
Hop_dong,Khác,4,1.4
Thoi_gian_cong_tac,Dưới 3 năm,54,19.2
Thoi_gian_cong_tac,3–dưới 8 năm,103,36.7
Thoi_gian_cong_tac,8–dưới 15 năm,70,24.9
Thoi_gian_cong_tac,15–dưới 25 năm,43,15.3
Thoi_gian_cong_tac,Từ 25 năm trở lên,11,3.9
Truong,Trường 1,52,18.5
Truong,Trường 2,55,19.6
Truong,Trường 3,55,19.6
Truong,Trường 4,63,22.4
Truong,Trường 5,56,19.9
