lval,rval,Est. Std,p-value
LED,NOR,0.3297402219376244,0.7089427612299548
LED,STR,-8.317641847035185,0.331641814020466
LED,OPE,8.735797103821561,0.29450956622372115
COL,NOR,0.3762990037859706,0.6795777601105759
COL,STR,-8.584714463127115,0.3316169906433497
COL,OPE,9.116282268620486,0.2891662632928622
PAR,NOR,0.6030071792450558,0.7716534267954032
PAR,STR,-20.2863290196217,0.32008703130749017
PAR,OPE,20.297145697654827,0.3061702112810174
TRU,LED,0.38264924228778363,0.0
TRU,COL,0.6604443614424343,0.0
TRU,PAR,0.03043258872120537,0.5168756550672495
SHA,LED,0.3826057491156019,0.0
SHA,COL,0.6999002125925764,0.0
SHA,PAR,-0.021208560730056236,0.6691193203440342
COM,TRU,11.40353384273069,0.18903249454093274
COM,SHA,-11.039504014259714,0.20389651733047964
RES,TRU,7.6143547275889985,0.17932798715708476
RES,SHA,-6.946174687061917,0.22061257996536465
ENG,TRU,12.54817697678578,0.1875468507081055
ENG,SHA,-12.040933386277336,0.20628903200211557
GLO,COM,0.0477492452996249,0.16924585902882905
GLO,RES,0.05095912031212266,0.18994839449542367
GLO,ENG,-0.036046817742771665,0.4246540087038273
GLO,LED,0.23809537918599288,5.837033079103549e-10
GLO,COL,0.7888767781892988,0.0
GLO,PAR,-0.03448514141512542,0.4892529118631592
OCM,GLO,0.8464577061510498,0.0
SAT_O,GLO,0.8818272034060006,0.0
SAT_J,GLO,0.8360878497568083,0.0
WEG,GLO,0.7112608874315629,0.0
PRO,GLO,0.7901532680973697,0.0
NOR1,NOR,0.9009643854292158,-
NOR2,NOR,0.9297206697123288,0.0
NOR3,NOR,0.914185696476932,0.0
STR1,STR,0.8057567916975704,-
STR2,STR,0.898405958227437,0.0
STR3,STR,0.91228541663718,0.0
OPE1,OPE,0.8917079014409649,-
OPE2,OPE,0.8068417023690605,0.0
OPE3,OPE,0.83869989086021,0.0
LED1,LED,0.7547559401430701,-
LED2,LED,0.5963708302394369,0.0
LED3,LED,0.7828279626685013,0.0
LED4,LED,0.8770716345192321,0.0
LED5,LED,0.8852100344016794,0.0
LED6,LED,0.891580932824457,0.0
LED7,LED,0.8830251977106086,0.0
LED8,LED,0.8849275100604261,0.0
LED9,LED,0.891886853028034,0.0
LED10,LED,0.8570003368633013,0.0
LED11,LED,0.8816629836773786,0.0
LED12,LED,0.8569072527686277,0.0
COL1,COL,0.8206065356687189,-
COL2,COL,0.8321328378517882,0.0
COL3,COL,0.871876307484238,0.0
COL4,COL,0.8312949823402058,0.0
COL5,COL,0.5971510128815704,0.0
COL6,COL,0.7118179086926241,0.0
PAR1,PAR,0.59997193695254,-
PAR2,PAR,0.7904688639072489,0.0
PAR3,PAR,0.643240578010455,0.0
PAR4,PAR,0.6578949448572093,0.0
TRU1,TRU,0.8289133962174842,-
TRU2,TRU,0.7259086302891025,0.0
TRU3,TRU,0.7239072429413013,0.0
TRU4,TRU,0.5893269638879439,0.0
SHA1,SHA,0.8108840747773254,-
SHA2,SHA,0.8405410335769206,0.0
COM1,COM,0.7830301963382605,-
COM2,COM,0.8393910664690966,0.0
COM3,COM,0.5374492329658234,0.0
RES1,RES,0.7044032683209142,-
RES2,RES,0.8827047650269563,0.0
ENG1,ENG,0.675388024865637,-
ENG2,ENG,0.6110100841504148,0.0
ENG3,ENG,0.7745416421758272,0.0
ENG4,ENG,0.6155217233828991,0.0
GLO1,GLO,0.8045414713815582,-
GLO2,GLO,0.8430110071738178,0.0
GLO3,GLO,0.860111644912569,0.0
GLO4,GLO,0.8565860082139971,0.0
GLO5,GLO,0.8677592590395796,0.0
GLO6,GLO,0.7482612094004832,0.0
GLO7,GLO,0.7533611881992954,0.0
GLO8,GLO,0.8614237164545895,0.0
OCM1,OCM,0.7752986880101407,-
OCM2,OCM,0.7497677914082296,0.0
OCM3,OCM,0.9135600441706507,0.0
SAT_O1,SAT_O,0.7513052312187267,-
SAT_O2,SAT_O,0.8716493992438431,0.0
SAT_O3,SAT_O,0.843213614720241,0.0
SAT_O4,SAT_O,0.8690207603899723,0.0
SAT_O5,SAT_O,0.4829991863941494,8.881784197001252e-16
SAT_O6,SAT_O,0.8047369029866355,0.0
SAT_J1,SAT_J,0.675073582186953,-
SAT_J2,SAT_J,0.6454239868350476,0.0
SAT_J3,SAT_J,0.8324531610603731,0.0
SAT_J4,SAT_J,0.9065529813084627,0.0
WEG1,WEG,0.830512964042054,-
WEG2,WEG,0.8438743464335009,0.0
WEG3,WEG,0.7712569755488689,0.0
WEG4,WEG,0.7997078733414508,0.0
WEG5,WEG,0.7890035314083541,0.0
WEG6,WEG,0.5866278279638951,0.0
WEG7,WEG,0.6342107528710947,0.0
WEG8,WEG,0.5432899491141727,0.0
WEG9,WEG,0.4109198388544351,3.997691067070264e-12
PRO1,PRO,0.7519624645593374,-
PRO2,PRO,0.6976449631524567,0.0
PRO3,PRO,0.7609614171700071,0.0
PRO4,PRO,0.558857683786368,0.0
PRO5,PRO,0.6759432916038445,0.0
PRO6,PRO,0.5627130981678793,0.0
