Thang đo,Tên,Khối,Cấp độ,Số item (thiết kế),Số item (phân tích),Nguồn
NOR,Chuẩn mực,Yếu tố Cấu trúc (CT) – Hình thức (HT),,3,3,Sattler et al. (2016); Verschueren et al. (2023)
STR,Chiến lược,Yếu tố Cấu trúc (CT) – Hình thức (HT),,3,3,Sattler et al. (2016); Verschueren et al. (2023)
OPE,Hành động,Yếu tố Cấu trúc (CT) – Hình thức (HT),,3,3,Sattler et al. (2016); Verschueren et al. (2023)
LED,Lãnh đạo,Yếu tố trung gian kết nối TL–TC & CT–HT,,12,12,Heinitz & Rowold (2007); Hildesheim & Sonntag (2019)
COL,Giao tiếp,Yếu tố trung gian kết nối TL–TC & CT–HT,,6,6,Brodbeck et al. (2000); Hildesheim & Sonntag (2019)
PAR,Tham gia,Yếu tố trung gian kết nối TL–TC & CT–HT,,4,4,Staufenbiel & Hartz (2000); Hildesheim & Sonntag (2019)
TRU,Niềm tin,Yếu tố Tâm lý (TL) – Tổ chức (TC),Tập thể,4,4,Zeitz et al. (1997); Hildesheim & Sonntag (2019)
SHA,Các giá trị,Yếu tố Tâm lý (TL) – Tổ chức (TC),Tập thể,4,2,Sattler et al. (2016); Hildesheim & Sonntag (2019)
COM,Cam kết,Yếu tố Tâm lý (TL) – Tổ chức (TC),Cá nhân,4,4,Jackson (2004); Sattler et al. (2016); Hildesheim & Sonntag (2019)
RES,Trách nhiệm,Yếu tố Tâm lý (TL) – Tổ chức (TC),Cá nhân,4,4,Jackson (2004); Sattler et al. (2016); Hildesheim & Sonntag (2019)
ENG,Gắn kết,Yếu tố Tâm lý (TL) – Tổ chức (TC),Cá nhân,4,4,Jackson (2004); Sattler et al. (2016); Hildesheim & Sonntag (2019)
GLO,Các khía cạnh tổng thể,Đo VHCL bằng các khía cạnh tổng thể,,8,8,Sattler et al. (2016); Hildesheim & Sonntag (2019)
OCM,Cam kết tổ chức,Các biến kết quả,,3,3,Sattler et al. (2016)
SAT_O,Hài lòng với tổ chức,Các biến kết quả,,6,6,Hildesheim & Sonntag (2019)
SAT_J,Hài lòng với công việc,Các biến kết quả,,4,4,Hildesheim & Sonntag (2019)
WEG,Gắn kết công việc,Các biến kết quả,,9,9,Schaufeli et al. (2006)
PRO,Phát triển chuyên môn,Các biến kết quả,,6,6,Mourao et al. (2022)
