X,M,Y,Gián tiếp (ab),CI95,Ý nghĩa gián tiếp,Trực tiếp (c'),p trực tiếp,Loại trung gian
COM,GLO,OCM,0.331,[0.199; 0.473],Có,0.185,0.0067,Một phần
COM,GLO,SAT_J,0.225,[0.137; 0.316],Có,-0.01,0.8307,Toàn phần
COM,GLO,WEG,0.196,[0.118; 0.292],Có,0.334,0.0,Một phần
COM,GLO,PRO,0.207,[0.119; 0.311],Có,0.185,0.0004,Một phần
COM,GLO,SAT_O,0.296,[0.177; 0.414],Có,-0.061,0.1776,Toàn phần
RES,GLO,OCM,0.407,[0.287; 0.539],Có,0.225,0.0001,Một phần
RES,GLO,SAT_J,0.273,[0.204; 0.348],Có,0.115,0.0033,Một phần
RES,GLO,WEG,0.283,[0.200; 0.376],Có,0.089,0.0652,Toàn phần
RES,GLO,PRO,0.301,[0.211; 0.403],Có,0.03,0.4967,Toàn phần
RES,GLO,SAT_O,0.369,[0.282; 0.456],Có,0.106,0.0043,Một phần
ENG,GLO,OCM,0.424,[0.294; 0.563],Có,0.399,0.0,Một phần
ENG,GLO,SAT_J,0.297,[0.220; 0.383],Có,0.12,0.0172,Một phần
ENG,GLO,WEG,0.236,[0.169; 0.322],Có,0.492,0.0,Một phần
ENG,GLO,PRO,0.267,[0.179; 0.372],Có,0.294,0.0,Một phần
ENG,GLO,SAT_O,0.419,[0.310; 0.534],Có,-0.045,0.3446,Toàn phần
LED,GLO,OCM,0.378,[0.249; 0.517],Có,0.326,0.0,Một phần
LED,GLO,SAT_J,0.249,[0.183; 0.324],Có,0.203,0.0,Một phần
LED,GLO,WEG,0.281,[0.179; 0.399],Có,0.153,0.0073,Một phần
LED,GLO,PRO,0.343,[0.225; 0.441],Có,0.052,0.3133,Toàn phần
LED,GLO,SAT_O,0.466,[0.388; 0.552],Có,0.035,0.4219,Toàn phần
COL,GLO,OCM,0.612,[0.400; 0.816],Có,0.125,0.1648,Toàn phần
COL,GLO,SAT_J,0.301,[0.209; 0.402],Có,0.208,0.0007,Một phần
COL,GLO,WEG,0.333,[0.187; 0.475],Có,0.166,0.0294,Một phần
COL,GLO,PRO,0.278,[0.138; 0.414],Có,0.237,0.0005,Một phần
COL,GLO,SAT_O,0.39,[0.293; 0.494],Có,0.271,0.0,Một phần
PAR,GLO,OCM,0.463,[0.334; 0.611],Có,0.385,0.0,Một phần
PAR,GLO,SAT_J,0.346,[0.276; 0.418],Có,0.12,0.012,Một phần
PAR,GLO,WEG,0.23,[0.154; 0.321],Có,0.444,0.0,Một phần
PAR,GLO,PRO,0.289,[0.206; 0.380],Có,0.273,0.0,Một phần
PAR,GLO,SAT_O,0.509,[0.415; 0.612],Có,-0.01,0.822,Toàn phần
