So sánh,Biến,TB nhóm 1 (Giáo viên),TB nhóm 2 (CBQL),t,p,Cohen d,TB nhóm 1 (Người Việt),TB nhóm 2 (Người nước ngoài),TB nhóm 1 (1),TB nhóm 2 (0)
GV vs CBQL,GLO,4.52,4.81,-2.034,0.0458,0.301,,,,
GV vs CBQL,OCM,4.79,5.06,-2.226,0.0286,0.273,,,,
GV vs CBQL,SAT_J,3.83,3.88,-0.543,0.589,0.081,,,,
GV vs CBQL,SAT_O,3.67,3.62,0.376,0.7081,0.066,,,,
GV vs CBQL,WEG,4.65,4.8,-1.425,0.1583,0.2,,,,
GV vs CBQL,PRO,4.86,4.79,0.503,0.6174,0.101,,,,
Việt vs Nước ngoài,GLO,,,7.423,0.0,2.084,4.78,3.12,,
Việt vs Nước ngoài,OCM,,,6.046,0.0,1.633,5.01,3.59,,
Việt vs Nước ngoài,SAT_J,,,7.062,0.0,1.645,3.96,3.01,,
Việt vs Nước ngoài,SAT_O,,,8.12,0.0,1.983,3.82,2.58,,
Việt vs Nước ngoài,WEG,,,3.856,0.0004,0.807,4.75,4.17,,
Việt vs Nước ngoài,PRO,,,4.839,0.0,1.086,4.94,4.23,,
Nam vs Nữ,GLO,,,2.163,0.0328,0.33,,,4.65,4.33
Nam vs Nữ,OCM,,,2.9,0.0045,0.433,,,4.94,4.52
Nam vs Nữ,SAT_J,,,1.524,0.1304,0.222,,,3.88,3.73
Nam vs Nữ,SAT_O,,,1.992,0.0491,0.307,,,3.72,3.49
Nam vs Nữ,WEG,,,1.541,0.1257,0.206,,,4.71,4.56
Nam vs Nữ,PRO,,,0.782,0.4357,0.111,,,4.87,4.79
