Biến phụ thuộc,Biến độc lập,Beta,CI2.5%,CI97.5%,Boot SE,Ý nghĩa (CI không chứa 0)
PAR,OPE,0.229,-0.019,0.448,0.124,Không
PAR,STR,0.105,-0.114,0.348,0.12,Không
PAR,NOR,0.198,-0.074,0.493,0.142,Không
COL,OPE,0.31,0.127,0.463,0.085,Có
COL,STR,0.247,0.058,0.419,0.091,Có
COL,NOR,0.281,0.107,0.479,0.095,Có
LED,OPE,0.24,-0.018,0.476,0.126,Không
LED,STR,0.224,-0.007,0.472,0.119,Không
LED,NOR,0.276,0.066,0.491,0.114,Có
SHA,PAR,0.049,-0.038,0.157,0.049,Không
SHA,COL,0.626,0.484,0.746,0.07,Có
SHA,LED,0.257,0.115,0.396,0.071,Có
TRU,PAR,0.073,-0.016,0.173,0.049,Không
TRU,COL,0.373,0.26,0.503,0.06,Có
TRU,LED,0.54,0.401,0.649,0.061,Có
ENG,SHA,0.126,-0.081,0.337,0.112,Không
ENG,TRU,0.326,0.112,0.54,0.111,Có
RES,SHA,0.297,0.082,0.464,0.097,Có
RES,TRU,0.327,0.171,0.51,0.09,Có
COM,SHA,0.147,-0.075,0.369,0.114,Không
COM,TRU,0.187,-0.048,0.408,0.117,Không
GLO,PAR,0.043,-0.035,0.131,0.042,Không
GLO,COL,0.597,0.486,0.701,0.053,Có
GLO,LED,0.324,0.227,0.416,0.05,Có
GLO,ENG,-0.042,-0.114,0.038,0.039,Không
GLO,RES,0.069,-0.003,0.147,0.038,Không
GLO,COM,0.026,-0.036,0.083,0.031,Không
PRO,GLO,0.749,0.683,0.811,0.032,Có
WEG,GLO,0.649,0.569,0.729,0.04,Có
SAT_J,GLO,0.722,0.656,0.784,0.034,Có
SAT_O,GLO,0.815,0.764,0.855,0.024,Có
OCM,GLO,0.738,0.656,0.802,0.039,Có
