Construct,Name,Block,Items (design),Items (analysis),Items used
NOR,Normative,Structural-formal Elements,3,3,"NOR1, NOR2, NOR3"
STR,Strategic,Structural-formal Elements,3,3,"STR1, STR2, STR3"
OPE,Operative,Structural-formal Elements,3,3,"OPE1, OPE2, OPE3"
LED,Leadership,Intermediary Factor,12,12,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12"
COL,Communication,Intermediary Factor,6,6,"COL1, COL2, COL3, COL4, COL5, COL6"
PAR,Participation,Intermediary Factor,4,4,"PAR1, PAR2, PAR3, PAR4"
TRU,Trust,Organizational-psychological Elements,4,4,"TRU1, TRU2, TRU3, TRU4"
SHA,Shared Value,Organizational-psychological Elements,4,2,"SHA1, SHA2"
COM,Commitment,Organizational-psychological Elements,4,3,"COM1, COM2, COM3"
RES,Responsibility,Organizational-psychological Elements,4,2,"RES1, RES2"
ENG,Engagement,Organizational-psychological Elements,4,4,"ENG1, ENG2, ENG3, ENG4"
GLO,Global Aspects,Measuring Quality Culture through Global Aspects,8,8,"GLO1, GLO2, GLO3, GLO4, GLO5, GLO6, GLO7, GLO8"
OCM,Organizational Commitment,Outcome Variables,3,3,"OCM1, OCM2, OCM3"
SAT_O,Organizational Satisfaction,Outcome Variables,6,6,"SAT_O1, SAT_O2, SAT_O3, SAT_O4, SAT_O5, SAT_O6"
SAT_J,Job Satisfaction,Outcome Variables,4,4,"SAT_J1, SAT_J2, SAT_J3, SAT_J4"
WEG,Work Engagement,Outcome Variables,9,9,"WEG1, WEG2, WEG3, WEG4, WEG5, WEG6, WEG7, WEG8, WEG9"
PRO,Professional Development,Outcome Variables,6,6,"PRO1, PRO2, PRO3, PRO4, PRO5, PRO6"
