Construct,Item,Uniform DIF (b_grp),p_uniform,Non-uniform (b_int),p_nonuniform,Flagged
GLO,GLO1,0.059,0.6826,-0.059,0.4911,No
GLO,GLO2,-0.186,0.1374,-0.102,0.17,No
GLO,GLO3,0.039,0.7511,0.122,0.0969,No
GLO,GLO4,-0.037,0.7768,-0.036,0.6463,No
GLO,GLO5,-0.156,0.211,0.149,0.0442,No
GLO,GLO6,0.192,0.2108,-0.022,0.8053,No
GLO,GLO7,0.23,0.1227,-0.052,0.5584,No
GLO,GLO8,-0.123,0.3149,-0.019,0.7964,No
SAT_O,SAT_O1,0.268,0.1057,0.189,0.0601,No
SAT_O,SAT_O2,-0.153,0.2288,0.09,0.2403,No
SAT_O,SAT_O3,-0.274,0.0418,0.003,0.9706,No
SAT_O,SAT_O4,-0.326,0.0102,-0.016,0.8354,No
SAT_O,SAT_O5,0.611,0.0041,-0.247,0.0539,Yes
SAT_O,SAT_O6,0.068,0.6451,-0.063,0.477,No
SAT_J,SAT_J1,-0.018,0.9052,-0.356,0.0002,Yes
SAT_J,SAT_J2,0.003,0.9837,-0.043,0.6768,No
SAT_J,SAT_J3,0.014,0.9083,0.28,0.0006,Yes
SAT_J,SAT_J4,-0.002,0.9853,0.084,0.2627,No
OCM,OCM1,0.115,0.3001,0.108,0.1218,No
OCM,OCM2,0.264,0.0197,-0.12,0.0905,No
OCM,OCM3,-0.4,0.0001,0.006,0.9253,Yes
