,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
NOR1,0.799,0.032,0.095,-0.06,-0.032,0.135,-0.011,-0.023,0.092,-0.118,-0.003
NOR2,0.934,0.108,-0.049,0.061,-0.043,0.069,0.035,-0.061,0.065,-0.161,-0.092
NOR3,0.957,0.125,-0.057,-0.021,-0.072,0.083,-0.024,-0.023,0.037,-0.11,-0.061
STR1,0.788,0.022,0.192,-0.119,0.096,-0.222,-0.05,0.253,0.013,0.115,-0.186
STR2,0.891,-0.021,0.053,0.032,0.049,-0.106,0.041,-0.077,-0.048,0.096,0.008
STR3,0.819,-0.019,0.07,0.034,0.026,0.069,0.058,-0.026,-0.032,-0.02,-0.065
OPE1,0.773,-0.037,0.199,0.069,0.093,0.117,-0.061,-0.145,-0.163,0.009,-0.015
OPE2,0.768,-0.029,-0.03,-0.006,-0.02,-0.024,0.06,-0.026,0.128,0.085,-0.005
OPE3,0.874,-0.051,-0.031,0.087,0.044,-0.096,0.048,-0.085,-0.06,0.106,0.042
LED1,0.012,0.054,0.453,0.271,-0.066,0.066,0.162,-0.038,0.089,0.08,-0.087
LED2,-0.009,0.046,0.374,0.574,-0.024,-0.12,-0.115,-0.051,0.267,0.026,-0.079
LED3,-0.015,-0.068,0.579,0.266,-0.098,0.156,0.064,-0.168,0.094,0.059,-0.056
LED4,0.018,0.053,0.957,-0.064,-0.044,-0.045,-0.011,0.068,-0.002,-0.06,-0.016
LED5,0.051,-0.037,0.95,-0.031,0.034,-0.03,-0.014,0.111,-0.006,-0.173,0.07
LED6,0.089,-0.038,0.84,0.083,0.116,0.101,-0.06,-0.093,-0.058,-0.054,-0.047
LED7,-0.0,-0.027,0.854,0.127,0.04,0.107,-0.029,0.072,-0.084,-0.103,-0.018
LED8,-0.113,0.044,0.989,0.016,0.012,-0.029,0.013,0.057,-0.06,-0.024,-0.013
LED9,0.003,-0.01,0.899,0.011,0.031,-0.074,0.003,-0.15,0.016,0.039,0.2
LED10,0.19,-0.032,0.779,-0.224,-0.019,-0.029,0.053,-0.133,0.173,-0.018,0.098
LED11,0.157,-0.019,0.787,-0.103,-0.043,0.081,-0.039,-0.167,0.036,0.001,0.191
LED12,0.153,0.098,0.865,-0.178,-0.078,0.011,-0.036,0.114,-0.04,-0.065,-0.018
COL1,0.277,0.022,0.21,0.078,-0.029,0.562,-0.115,0.177,-0.059,-0.112,0.037
COL2,0.102,-0.009,0.023,0.065,0.014,0.803,-0.119,0.136,-0.048,0.109,-0.048
COL3,0.257,-0.01,0.05,-0.039,0.086,0.467,-0.06,0.102,0.013,0.31,-0.069
COL4,0.18,0.05,-0.02,-0.113,-0.099,0.461,-0.017,0.021,0.064,0.482,0.017
COL5,-0.016,-0.05,-0.169,-0.09,0.115,0.049,0.128,0.054,0.025,0.916,-0.018
COL6,0.16,-0.004,-0.1,-0.095,-0.022,0.122,-0.032,0.068,0.048,0.734,0.197
PAR1,0.084,0.017,-0.16,0.925,0.012,0.152,0.068,0.1,-0.175,-0.187,0.258
PAR2,0.162,-0.136,-0.126,0.272,0.12,-0.016,0.095,0.159,0.471,0.061,0.312
PAR3,-0.236,0.119,0.212,0.164,0.016,0.007,-0.164,-0.163,0.282,0.08,0.846
PAR4,-0.0,0.095,0.007,-0.104,-0.03,-0.071,-0.01,0.131,0.9,0.06,0.187
TRU1,0.292,-0.072,0.613,0.021,-0.011,0.083,0.075,0.039,-0.139,0.035,-0.029
TRU2,-0.142,-0.049,0.837,0.032,0.105,-0.096,0.066,0.354,0.044,0.0,-0.02
TRU3,0.129,-0.011,0.095,0.03,-0.028,0.4,-0.012,0.275,0.02,0.187,-0.017
TRU4,-0.101,0.1,0.036,0.066,-0.067,0.248,0.001,0.8,0.152,0.12,-0.152
SHA1,0.173,-0.054,0.26,-0.082,-0.048,0.483,0.049,-0.045,-0.021,0.087,0.169
SHA2,0.37,-0.022,-0.022,0.131,-0.014,0.521,0.017,0.014,-0.009,0.101,-0.062
COM1,-0.076,0.003,0.031,0.101,0.746,0.286,0.091,0.052,-0.149,-0.12,0.046
COM2,-0.171,0.31,0.094,-0.118,0.637,0.122,0.143,-0.235,-0.112,0.18,-0.019
COM3,0.171,-0.044,-0.02,-0.026,0.913,-0.261,-0.201,-0.016,0.127,0.121,-0.018
RES1,0.089,0.022,-0.02,-0.015,-0.093,-0.115,1.04,-0.054,-0.043,0.11,-0.21
RES2,-0.031,0.029,0.143,0.101,0.031,-0.17,0.775,0.113,0.08,0.009,0.073
ENG1,0.136,0.693,-0.223,0.061,0.159,0.137,-0.017,0.035,0.26,-0.282,-0.026
ENG2,0.213,0.603,-0.074,0.117,-0.09,-0.131,0.013,-0.02,-0.193,0.055,0.449
ENG3,-0.071,0.711,0.107,-0.266,0.014,0.083,0.135,0.073,0.187,-0.084,0.06
ENG4,-0.074,0.729,0.144,0.247,-0.047,-0.187,-0.1,0.108,-0.147,0.294,0.009
