Dependent,Independent,Beta,CI2.5%,CI97.5%,Boot SE,Significant (CI excludes 0)
PAR,OPE,0.229,-0.008,0.488,0.127,No
PAR,STR,0.105,-0.129,0.33,0.123,No
PAR,NOR,0.198,-0.082,0.461,0.142,No
COL,OPE,0.31,0.141,0.471,0.084,Yes
COL,STR,0.247,0.069,0.441,0.095,Yes
COL,NOR,0.281,0.1,0.471,0.095,Yes
LED,OPE,0.24,0.002,0.497,0.132,Yes
LED,STR,0.224,0.01,0.46,0.119,Yes
LED,NOR,0.276,0.008,0.48,0.119,Yes
SHA,PAR,0.049,-0.037,0.147,0.047,No
SHA,COL,0.626,0.487,0.751,0.067,Yes
SHA,LED,0.257,0.119,0.389,0.067,Yes
TRU,PAR,0.073,-0.027,0.16,0.049,No
TRU,COL,0.373,0.26,0.49,0.06,Yes
TRU,LED,0.54,0.421,0.649,0.06,Yes
ENG,SHA,0.126,-0.089,0.338,0.109,No
ENG,TRU,0.326,0.119,0.541,0.104,Yes
RES,SHA,0.297,0.1,0.505,0.101,Yes
RES,TRU,0.327,0.139,0.498,0.092,Yes
COM,SHA,0.147,-0.08,0.372,0.114,No
COM,TRU,0.187,-0.021,0.391,0.108,No
GLO,PAR,0.043,-0.031,0.129,0.04,No
GLO,COL,0.597,0.497,0.698,0.052,Yes
GLO,LED,0.324,0.234,0.425,0.05,Yes
GLO,ENG,-0.042,-0.11,0.038,0.041,No
GLO,RES,0.069,-0.007,0.137,0.038,No
GLO,COM,0.026,-0.03,0.079,0.029,No
PRO,GLO,0.749,0.687,0.812,0.033,Yes
WEG,GLO,0.649,0.555,0.731,0.043,Yes
SAT_J,GLO,0.722,0.659,0.779,0.032,Yes
SAT_O,GLO,0.815,0.77,0.852,0.021,Yes
OCM,GLO,0.738,0.658,0.796,0.036,Yes
