Scale,Name,CR,AVE,√AVE,AVE≥.50 met
NOR,Norms,0.939,0.836,0.914,Met
STR,Strategy,0.911,0.773,0.879,Met
OPE,Operations,0.889,0.729,0.854,Met
LED,Leadership,0.966,0.707,0.841,Met
COL,Communication,0.912,0.635,0.797,Met
PAR,Participation,0.769,0.459,0.678,Not met
TRU,Trust,0.832,0.557,0.747,Met
SHA,Shared values,0.848,0.736,0.858,Met
COM,Quality commitment,0.774,0.538,0.734,Met
RES,Responsibility,0.766,0.621,0.788,Met
ENG,Quality engagement,0.767,0.453,0.673,Not met
GLO,Quality culture (overall),0.947,0.692,0.832,Met
OCM,Organizational commitment,0.859,0.67,0.819,Met
SAT_O,Organizational satisfaction,0.901,0.61,0.781,Met
SAT_J,Job satisfaction,0.853,0.597,0.773,Met
WEG,Work engagement,0.894,0.495,0.703,Not met
PRO,Professional development,0.839,0.469,0.685,Not met
