X,M,Y,Indirect (ab),CI95,Indirect significant,Direct (c'),Direct p,Mediation type
COM,GLO,OCM,0.331,[0.199; 0.473],Yes,0.185,0.0067,Partial
COM,GLO,SAT_J,0.225,[0.137; 0.316],Yes,-0.01,0.8307,Full
COM,GLO,WEG,0.196,[0.118; 0.292],Yes,0.334,0.0,Partial
COM,GLO,PRO,0.207,[0.119; 0.311],Yes,0.185,0.0004,Partial
COM,GLO,SAT_O,0.296,[0.177; 0.414],Yes,-0.061,0.1776,Full
RES,GLO,OCM,0.407,[0.287; 0.539],Yes,0.225,0.0001,Partial
RES,GLO,SAT_J,0.273,[0.204; 0.348],Yes,0.115,0.0033,Partial
RES,GLO,WEG,0.283,[0.200; 0.376],Yes,0.089,0.0652,Full
RES,GLO,PRO,0.301,[0.211; 0.403],Yes,0.03,0.4967,Full
RES,GLO,SAT_O,0.369,[0.282; 0.456],Yes,0.106,0.0043,Partial
ENG,GLO,OCM,0.424,[0.294; 0.563],Yes,0.399,0.0,Partial
ENG,GLO,SAT_J,0.297,[0.220; 0.383],Yes,0.12,0.0172,Partial
ENG,GLO,WEG,0.236,[0.169; 0.322],Yes,0.492,0.0,Partial
ENG,GLO,PRO,0.267,[0.179; 0.372],Yes,0.294,0.0,Partial
ENG,GLO,SAT_O,0.419,[0.310; 0.534],Yes,-0.045,0.3446,Full
LED,GLO,OCM,0.378,[0.249; 0.517],Yes,0.326,0.0,Partial
LED,GLO,SAT_J,0.249,[0.183; 0.324],Yes,0.203,0.0,Partial
LED,GLO,WEG,0.281,[0.179; 0.399],Yes,0.153,0.0073,Partial
LED,GLO,PRO,0.343,[0.225; 0.441],Yes,0.052,0.3133,Full
LED,GLO,SAT_O,0.466,[0.388; 0.552],Yes,0.035,0.4219,Full
COL,GLO,OCM,0.612,[0.400; 0.816],Yes,0.125,0.1648,Full
COL,GLO,SAT_J,0.301,[0.209; 0.402],Yes,0.208,0.0007,Partial
COL,GLO,WEG,0.333,[0.187; 0.475],Yes,0.166,0.0294,Partial
COL,GLO,PRO,0.278,[0.138; 0.414],Yes,0.237,0.0005,Partial
COL,GLO,SAT_O,0.39,[0.293; 0.494],Yes,0.271,0.0,Partial
PAR,GLO,OCM,0.463,[0.334; 0.611],Yes,0.385,0.0,Partial
PAR,GLO,SAT_J,0.346,[0.276; 0.418],Yes,0.12,0.012,Partial
PAR,GLO,WEG,0.23,[0.154; 0.321],Yes,0.444,0.0,Partial
PAR,GLO,PRO,0.289,[0.206; 0.380],Yes,0.273,0.0,Partial
PAR,GLO,SAT_O,0.509,[0.415; 0.612],Yes,-0.01,0.822,Full
