Value,SHA3: selections,SHA3: %,SHA4: top-5 selections,SHA4: %
Experience sharing,215,76.5,111,39.5
Continuous quality development,215,76.5,129,45.9
Participation in decision-making,192,68.3,15,5.3
Mutual learning spirit,189,67.3,103,36.7
Recognition and appraisal of work,185,65.8,102,36.3
Social responsibility,185,65.8,23,8.2
Personal responsibility and commitment,180,64.1,51,18.1
Internationalization,170,60.5,47,16.7
Constructive critical feedback,166,59.1,52,18.5
Binding quality goals,163,58.0,29,10.3
Total quality management,136,48.4,75,26.7
Commitment to excellence,135,48.0,19,6.8
Open communication among members,132,47.0,40,14.2
Sustainable development,131,46.6,100,35.6
Interdisciplinary collaboration,129,45.9,27,9.6
Transparent communication,121,43.1,123,43.8
Self-reflection,119,42.3,34,12.1
Shared understanding of quality,108,38.4,41,14.6
Diversity,104,37.0,25,8.9
Clear quality policy,97,34.5,100,35.6
Trust-based collaboration,96,34.2,66,23.5
Creativity in approaches,83,29.5,34,12.1
Freedom in teaching methods,83,29.5,37,13.2
Collaboration with external partners,72,25.6,22,7.8
