Construct,Name,Block,Scale,Mean,SD,% of scale,Level
COM,Commitment,Organizational-psychological Elements,6-point,5.203,0.617,84.1,Rất cao
ENG,Engagement,Organizational-psychological Elements,6-point,5.085,0.606,81.7,Cao
RES,Responsibility,Organizational-psychological Elements,6-point,5.064,0.87,81.3,Cao
PRO,Professional Development,Outcome Variables,6-point,4.852,0.696,77.0,Cao
OCM,Organizational Commitment,Outcome Variables,6-point,4.833,0.991,76.7,Cao
COL,Communication,Intermediary Factor,6-point,4.756,0.888,75.1,Cao
TRU,Trust,Organizational-psychological Elements,6-point,4.748,0.913,75.0,Cao
PAR,Participation,Intermediary Factor,6-point,4.71,0.725,74.2,Cao
LED,Leadership,Intermediary Factor,6-point,4.69,0.989,73.8,Cao
WEG,Work Engagement,Outcome Variables,6-point,4.675,0.743,73.5,Cao
OPE,Operative,Structural-formal Elements,6-point,4.648,1.078,73.0,Cao
NOR,Normative,Structural-formal Elements,6-point,4.62,1.122,72.4,Cao
SHA,Shared Value,Organizational-psychological Elements,6-point,4.617,1.053,72.3,Cao
GLO,Global Aspects,Measuring Quality Culture through Global Aspects,6-point,4.569,0.971,71.4,Cao
SAT_J,Job Satisfaction,Outcome Variables,5-point,3.838,0.661,71.0,Cao
STR,Strategic,Structural-formal Elements,6-point,4.527,1.139,70.5,Cao
SAT_O,Organizational Satisfaction,Outcome Variables,5-point,3.664,0.752,66.6,Khá
