Construct,Name,Block,Level,Items (design),Items (analysis),Source
NOR,Normative,Structural-formal Elements,,3,3,Sattler et al. (2016); Verschueren et al. (2023)
STR,Strategic,Structural-formal Elements,,3,3,Sattler et al. (2016); Verschueren et al. (2023)
OPE,Operative,Structural-formal Elements,,3,3,Sattler et al. (2016); Verschueren et al. (2023)
LED,Leadership,Intermediary Factor,,12,12,Heinitz & Rowold (2007); Hildesheim & Sonntag (2019)
COL,Communication,Intermediary Factor,,6,6,Brodbeck et al. (2000); Hildesheim & Sonntag (2019)
PAR,Participation,Intermediary Factor,,4,4,Staufenbiel & Hartz (2000); Hildesheim & Sonntag (2019)
TRU,Trust,Organizational-psychological Elements,Collective,4,4,Zeitz et al. (1997); Hildesheim & Sonntag (2019)
SHA,Shared Value,Organizational-psychological Elements,Collective,4,2,Sattler et al. (2016); Hildesheim & Sonntag (2019)
COM,Commitment,Organizational-psychological Elements,Individual,4,4,Jackson (2004); Sattler et al. (2016); Hildesheim & Sonntag (2019)
RES,Responsibility,Organizational-psychological Elements,Individual,4,4,Jackson (2004); Sattler et al. (2016); Hildesheim & Sonntag (2019)
ENG,Engagement,Organizational-psychological Elements,Individual,4,4,Jackson (2004); Sattler et al. (2016); Hildesheim & Sonntag (2019)
GLO,Global Aspects,Measuring Quality Culture through Global Aspects,,8,8,Sattler et al. (2016); Hildesheim & Sonntag (2019)
OCM,Organizational Commitment,Outcome Variables,,3,3,Sattler et al. (2016)
SAT_O,Organizational Satisfaction,Outcome Variables,,6,6,Hildesheim & Sonntag (2019)
SAT_J,Job Satisfaction,Outcome Variables,,4,4,Hildesheim & Sonntag (2019)
WEG,Work Engagement,Outcome Variables,,9,9,Schaufeli et al. (2006)
PRO,Professional Development,Outcome Variables,,6,6,Mourao et al. (2022)
