lval,rval,Est. Std,p-value
LED,NOR,0.3301379243374062,0.7084628539101712
LED,STR,-8.311398739537626,0.33148742699472766
LED,OPE,8.729248319427208,0.2943123725455934
COL,NOR,0.3767909716163037,0.6791277092738355
COL,STR,-8.581465688669478,0.3314489643445815
COL,OPE,9.112596075328943,0.28896864042329273
PAR,NOR,0.6040187249661308,0.77119172064509
PAR,STR,-20.274165200669167,0.3199179498196556
PAR,OPE,20.284078854925312,0.30597972347231517
TRU,LED,0.38261901117486197,0.0
TRU,COL,0.6604378440072697,0.0
TRU,PAR,0.03046533565411645,0.5163705732730621
SHA,LED,0.38256435089436175,0.0
SHA,COL,0.6998841229829471,0.0
SHA,PAR,-0.021152998251794508,0.6699024470289401
COM,TRU,11.404865365074796,0.18910975436664468
COM,SHA,-11.040849557584721,0.20397339504707634
RES,TRU,7.615154463312337,0.17940177653635758
RES,SHA,-6.9469566871599335,0.22068777223925595
ENG,TRU,12.5489459515587,0.1876236842255259
ENG,SHA,-12.041698984136403,0.20636716816531653
GLO,COM,0.04777124196626703,0.16899597518214327
GLO,RES,0.050962458152364706,0.18991726178211987
GLO,ENG,-0.036060479489380036,0.4243824080583707
GLO,LED,0.23807433442874504,5.859077667480506e-10
GLO,COL,0.7888925840954093,0.0
GLO,PAR,-0.03449784848707493,0.48901355703460325
OCM,GLO,0.8464388879767263,0.0
SAT_O,GLO,0.8818407058606237,0.0
SAT_J,GLO,0.8360964316422753,0.0
WEG,GLO,0.7112633583992555,0.0
PRO,GLO,0.7902078446734373,0.0
NOR1,NOR,0.9009815715805166,-
NOR2,NOR,0.9297208548624615,0.0
NOR3,NOR,0.9141851332790378,0.0
STR1,STR,0.8057816534274839,-
STR2,STR,0.898413792035812,0.0
STR3,STR,0.9122941373788918,0.0
OPE1,OPE,0.8917120199388089,-
OPE2,OPE,0.8068701276197182,0.0
OPE3,OPE,0.8387249329663432,0.0
LED1,LED,0.7547620394566539,-
LED2,LED,0.5963876976563711,0.0
LED3,LED,0.7828132115056078,0.0
LED4,LED,0.8770795072503886,0.0
LED5,LED,0.8852138598357455,0.0
LED6,LED,0.8915831923603618,0.0
LED7,LED,0.8830428791164318,0.0
LED8,LED,0.8848938248821175,0.0
LED9,LED,0.8918829690994176,0.0
LED10,LED,0.8570216469564723,0.0
LED11,LED,0.881657594280146,0.0
LED12,LED,0.8568890844062359,0.0
COL1,COL,0.8206102851799553,-
COL2,COL,0.8321381237928818,0.0
COL3,COL,0.8718797736905005,0.0
COL4,COL,0.8312970957441377,0.0
COL5,COL,0.5971011543872956,0.0
COL6,COL,0.711858120224131,0.0
PAR1,PAR,0.5999691962748255,-
PAR2,PAR,0.7904739802536114,0.0
PAR3,PAR,0.643230780196424,0.0
PAR4,PAR,0.6578635129006312,0.0
TRU1,TRU,0.828935868333815,-
TRU2,TRU,0.7259494601716897,0.0
TRU3,TRU,0.7239448386794118,0.0
TRU4,TRU,0.5893622975457157,0.0
SHA1,SHA,0.8108768557169491,-
SHA2,SHA,0.8405458243710041,0.0
COM1,COM,0.7830141658317245,-
COM2,COM,0.8393736362889643,0.0
COM3,COM,0.5374377374700718,0.0
RES1,RES,0.7044081336997464,-
RES2,RES,0.8826791558897017,0.0
ENG1,ENG,0.6753246466294752,-
ENG2,ENG,0.6110064677547703,0.0
ENG3,ENG,0.774516993617724,0.0
ENG4,ENG,0.6154809029828572,0.0
GLO1,GLO,0.8045547558457172,-
GLO2,GLO,0.8430105796478167,0.0
GLO3,GLO,0.8601236619547218,0.0
GLO4,GLO,0.8565903866125447,0.0
GLO5,GLO,0.8677544989466976,0.0
GLO6,GLO,0.7482501314796335,0.0
GLO7,GLO,0.75338247114602,0.0
GLO8,GLO,0.8614410375037822,0.0
OCM1,OCM,0.7752851070587178,-
OCM2,OCM,0.7497836967692582,0.0
OCM3,OCM,0.9135726337855608,0.0
SAT_O1,SAT_O,0.7513001867668141,-
SAT_O2,SAT_O,0.8716419927395159,0.0
SAT_O3,SAT_O,0.843233665742591,0.0
SAT_O4,SAT_O,0.8690449987631557,0.0
SAT_O5,SAT_O,0.4830221713600583,8.881784197001252e-16
SAT_O6,SAT_O,0.8047466750653433,0.0
SAT_J1,SAT_J,0.6751367310520027,-
SAT_J2,SAT_J,0.6454161904053574,0.0
SAT_J3,SAT_J,0.8324432676418633,0.0
SAT_J4,SAT_J,0.9065568690479756,0.0
WEG1,WEG,0.8305107899190515,-
WEG2,WEG,0.843855417367739,0.0
WEG3,WEG,0.7712522730698057,0.0
WEG4,WEG,0.7996989304923406,0.0
WEG5,WEG,0.7890231157046066,0.0
WEG6,WEG,0.5866010484958345,0.0
WEG7,WEG,0.6341994991593666,0.0
WEG8,WEG,0.5432702577897169,0.0
WEG9,WEG,0.4109179892529073,3.999245379304739e-12
PRO1,PRO,0.7519618215110215,-
PRO2,PRO,0.697673766422341,0.0
PRO3,PRO,0.7610154351308979,0.0
PRO4,PRO,0.5588884363842201,0.0
PRO5,PRO,0.6759606888187505,0.0
PRO6,PRO,0.562771275383555,0.0
